# r(1) ntot(2) grad2ntot(3) laplntot(4) tauk(5) tautf(6)  ptot(7) qtot(8) z(9) denstest(10) Fvw(11) vp(12) Fmggaus(13) Fcurvefit(14) divgradgrad2(15) divgradlapl(16) Har-dep-ind(17) vesp(18) Fmggapc(19) vpstitch4(20) vpts(21)  FxcPW91lb(22) FxcPW91lda(23) Fs1(24)  Fvw_ts(25) Fs(26) vxlda(27)  vxlb(28) tauresp(29) Vresp(30) taupusbigZ(31) Vp1(32) Fpauli(33) FgeapauliusbigZ(34) zusbigZ(35) FmggausbigZ(36) FbigZnuc(37) 
0.0026590476791 13.3414370818378 6405.898557946539 -59699.029105576716 60.01882083860008 215.47965696448517 0.16712154136254392 -20.778885793642285 -46.422889232334775 13.3414370818378 0.2785359022709066 1.8089843913504478 -45.144353330063865 0.0 -620.2458916713886 -11388.383077485169 0.0062028374034280576 -1122.5868331996485 0.2785359022709066 24.506045264963213 -2.986670274394328 -0.22132474902577348 -0.12276572078790873 38.617466911104906 69.54148854774517 4.277284807906518 -1.7516712212631016 -3.343513649119653 38.15401113823425 1.8089843789850812 -12685.271119537065 -1118.293481276321 38.338931008834 -58.86992441995497 -59.86992441995497 0.278535912151188 0.16185528201558497
0.00272472615678 13.3361814619018 6400.641147300264 -58224.69621474795 59.993195840529445 215.3382016298929 0.16715992381316316 -20.279040983222817 -45.312179849847986 13.3361814619018 0.2785998730219386 1.808984399549135 -44.03357997682605 0.0 -614.3537897964892 8496.855907596932 0.006355027625086283 -1095.3914496626885 0.2785998730219386 24.48998049512103 -2.987371782303626 -0.221318115290193 -0.12273691966008606 37.68458693741198 67.87540315043132 4.184806059953001 -1.7514411778961672 -3.343223461464813 37.220975168608035 1.8089843838273432 -12368.507453352116 -1091.1087997638729 37.40598706439004 -57.43759054238865 -58.43759054238865 0.27859988380630496 0.16191925449079547
0.00279202689285 13.330798264506868 6395.26549012091 -56785.999430025426 59.96701577070216 215.19335106309302 0.16719944704241546 -19.79127113459568 -44.228305405831016 13.330798264506868 0.27866574507069247 1.8089844090908704 -42.949639660760326 0.0 -594.6443836039857 -8415.292588944661 0.006510926402411036 -1068.851601137907 0.27866574507069247 24.47353126215147 -2.9865558753065216 -0.2213125041272935 -0.12270854438865647 36.774156256760655 66.24956952705628 4.094518195393834 -1.7512054876801948 -3.3429268612413554 36.31047935581656 1.8089843894036581 -12059.4057322348 -1064.5817413567972 36.495490511689965 -56.03986216423144 -57.03986216423144 0.2786657567862997 0.16198512849675506
0.0028609899571 13.3252844458123 6389.769653051663 -55382.05484492557 59.94027475463541 215.0450261714759 0.16724016036273945 -19.31527637406184 -43.17059958734148 13.3252844458123 0.27873360060456576 1.808984419584814 -41.89186598673691 0.0 -581.9110179782003 4279.009694167223 0.006670622843107371 -1042.951486238696 0.27873360060456576 24.45668868835404 -2.9847323969449917 -0.22130794583763552 -0.12268060530333245 35.885646743153686 64.66298818081069 4.006381505383699 -1.7509640127403394 -3.34262377149976 35.42196394548412 1.8089843957386544 -11757.776052252952 -1038.6954570158684 35.606913142549125 -54.67588003117707 -55.67588003117707 0.2787336137256031 0.16205298595739115
0.00293165640904 13.31963689248975 6384.150054884879 -54011.89525326495 59.91295170863855 214.8931461528831 0.1672820722344807 -18.850727519773542 -42.13833089169599 13.31963689248975 0.2788034537241345 1.8089844313560601 -40.859527437971856 0.0 -569.8520071058382 -660.2343131691464 0.006834208133722409 -1017.6756844683554 0.2788034537241345 24.43944372062114 -2.984364184330616 -0.2213044613665197 -0.12265311298621799 35.01859657006873 63.114561852969274 3.920411354171912 -1.7507166118934974 -3.342313950227883 34.55481446652032 1.808984402859072 -11463.410590061661 -1013.4297052171761 34.73979311634459 -53.34470082124517 -54.34470082124517 0.2788034680427285 0.16212284148267453
0.00300406832235 13.313852419810152 6378.403043846849 -52674.76950971203 59.885025104510525 214.7376284523789 0.16732519146736263 -18.397370510704437 -41.13093475188744 13.313852419810152 0.2788753191122711 1.8089844441748484 -39.852059432775164 0.0 -555.4303950274304 -2061.339547221147 0.007001775585008668 -993.009147037382 0.2788753191122711 24.421787109719087 -2.9842398007072006 -0.22130207221733314 -0.12262607827972884 34.17245650512518 61.60344368812707 3.8365232016050017 -1.7504631405505833 -3.3419971500318613 33.708556673437904 1.8089844107929964 -11176.147961075432 -988.7719574832474 33.89358118601291 -52.045596487314754 -53.045596487314754 0.2788753348454156 0.16219470927822388
0.00307826880991 13.30792777078151 6372.52557216894 -51369.941635511765 59.85647931831347 214.5783887476821 0.16736954495411324 -17.954956438757396 -40.147858078652156 13.30792777078151 0.27894924159018875 1.808984458307308 -38.868908837061966 0.0 -541.5191086420813 -581.422742556726 0.007173420678252379 -968.9371879100203 0.27894924159018875 24.403709415886098 -2.9832300920816124 -0.22130080472085742 -0.12259951229101855 33.346691987088626 60.12880403744817 3.7546359894885715 -1.7502034506641426 -3.341673186726955 32.88272594316744 1.8089844195707847 -10895.830049052229 -964.7098262814662 33.067742745498435 -50.777853784075106 -51.777853784075106 0.27894925900053824 0.1622686346208395
0.00315430204951 13.301859613614498 6366.514836256362 -50096.58724246062 59.82730125637976 214.4153408900601 0.16741516838816217 -17.523205324711565 -39.18847874882297 13.301859613614498 0.279025280646937 1.8089844735424312 -37.90945346817604 0.0 -529.1091984041489 205.35007902865442 0.007349241112306933 -945.4454750465103 0.279025280646937 24.38520100181828 -2.9822261087444986 -0.22130068782377235 -0.12257342640218258 32.540835717114604 58.68970969635216 3.674725537376531 -1.7499373906019566 -3.3413419030346456 32.0767996549687 1.8089844292236594 -10622.279740863849 -941.2272127565803 32.26181043646766 -49.54067044256104 -50.54067044256104 0.27902529978730384 0.1623446767349226
0.00323221331013 13.29564454105568 6360.367134238756 -48853.928255423365 59.797469632029824 214.2483968958682 0.16746207625031462 -17.101853139828155 -38.252210053322294 13.29564454105568 0.27910346041719103 1.8089844901446992 -36.973106592905104 0.0 -516.8908213079878 -571.0057259534121 0.007529336851659361 -922.5200218782608 0.27910346041719103 24.36625203723759 -2.98160256048493 -0.2213017458853657 -0.1225478322742088 31.754418155639918 57.2852805931777 3.59675460933281 -1.7496648051017198 -3.341003052228435 31.290284958092098 1.8089844397855581 -10355.329869659334 -918.3094575865239 31.47531469522273 -48.33328986210509 -49.33328986210509 0.27910348148516717 0.1624228598682691
0.00331204897889 13.289279068355638 6354.079124807564 -47641.242428755366 59.76696678000496 214.07746690185144 0.16751029491863959 -16.69065518135459 -37.33850824733411 13.289279068355638 0.2791838248643993 1.8089845079586886 -36.059324422469714 0.0 -504.16325335221967 -1115.6818169354628 0.007713810175171516 -900.1471789810566 0.2791838248643993 24.346852486395807 -2.9810283647267397 -0.22130400664866107 -0.12252274185569059 30.986962077605707 55.914701096046365 3.520667668986191 -1.7493855351650867 -3.3406564261944514 30.52272507934177 1.8089844512916395 -10094.825274000725 -895.9436141299432 30.70777825274131 -47.1550108476803 -48.1550108476803 0.2791838481443075 0.16250322802593242
